metric,value
n_test,1805.0
mae,33.46558233456599
rmse,43.20538032561114
r2,0.5347594438775678
sensitivity_s2,0.7125827814569536
specificity_s2,0.8257142857142857
auroc_S1+,0.8764383743875132
auroc_S2+,0.8617634815515609
auroc_S3,0.8656770017915651
