Model,MAE,RMSE,R2
Mean predictor,51.494940222098016,62.52148983357133,-0.003107011611920507
Baseline XGBoost,35.25979831515917,44.818216936273636,0.48453666620420444
Tuned XGBoost,34.71343841130053,43.86553471246618,0.506217738033512
