mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__reg_lambda,param_model__reg_alpha,param_model__n_estimators,param_model__min_child_weight,param_model__max_depth,param_model__learning_rate,param_model__colsample_bytree,params,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_train_rmse,split1_train_rmse,split2_train_rmse,split3_train_rmse,split4_train_rmse,mean_train_rmse,std_train_rmse,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,mean_test_mae,std_test_mae,rank_test_mae,split0_train_mae,split1_train_mae,split2_train_mae,split3_train_mae,split4_train_mae,mean_train_mae,std_train_mae,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,mean_train_r2,std_train_r2
0.8613017559051513,0.03084475993681636,0.02523512840270996,0.0049337408722085144,0.7,5,0.0,1000,10,2,0.015,0.85,"{'model__subsample': 0.7, 'model__reg_lambda': 5, 'model__reg_alpha': 0, 'model__n_estimators': 1000, 'model__min_child_weight': 10, 'model__max_depth': 2, 'model__learning_rate': 0.015, 'model__colsample_bytree': 0.85}",-45.20427927941224,-45.098115447602666,-43.728205644204984,-45.93369511015983,-45.7663177692635,-45.146122650128646,0.7773143361999435,6,-43.27707756993176,-43.251957475943364,-43.57759295137505,-43.10751133780811,-43.13946455267628,-43.27072077754692,0.166390215549858,-35.13172921051279,-35.31050916686293,-34.042760815954175,-35.81305773358996,-34.76879752747978,-35.013370890879926,0.5905419444740971,5,-33.5160183182873,-33.42274611218848,-33.78928102869602,-33.42202356504688,-33.62963439264765,-33.555940683373265,0.13938928448769589,0.4815199046663282,0.4721340108744795,0.5155453501969276,0.4872212856567738,0.47450079269880674,0.4861842688186632,0.01561293155759373,6,0.529043677258082,0.5321356806767723,0.5221769961235524,0.5276152187757643,0.5307468543051419,0.5283436854278627,0.003441021877930004
0.2861921787261963,0.014458610244642617,0.02452507019042969,0.002886131861948902,1.0,15,5.0,500,40,2,0.015,0.7,"{'model__subsample': 1.0, 'model__reg_lambda': 15, 'model__reg_alpha': 5, 'model__n_estimators': 500, 'model__min_child_weight': 40, 'model__max_depth': 2, 'model__learning_rate': 0.015, 'model__colsample_bytree': 0.7}",-45.52725673903023,-45.3302621190388,-44.18897548034152,-46.23181037476944,-46.170730140476586,-45.489806970731316,0.7393571567161674,29,-44.256309342988544,-44.28528355871217,-44.58399797805868,-44.100863376211414,-44.07648220008355,-44.26058729121087,0.18145472847992494,-35.46424563505643,-35.5875122747071,-34.39357241011294,-36.05753816537203,-35.02163785113614,-35.304901267276925,0.5625798358031571,29,-34.32919487850747,-34.28839441455053,-34.64631551071529,-34.24582651370571,-34.42363522409175,-34.38667330831415,0.1425346181736768,0.4740845195631186,0.4666855467846267,0.5052820363237851,0.4805436941860013,0.46517265155496823,0.47835368968249997,0.01454677360015906,29,0.5074898692791678,0.5095132827356263,0.4998519279208513,0.5055934917297733,0.510140490557632,0.5065178124446101,0.0036967531357260685
1.7260551929473877,0.027433272754557814,0.03626294136047363,0.0013039747762539201,0.85,40,5.0,1000,20,5,0.025,1.0,"{'model__subsample': 0.85, 'model__reg_lambda': 40, 'model__reg_alpha': 5, 'model__n_estimators': 1000, 'model__min_child_weight': 20, 'model__max_depth': 5, 'model__learning_rate': 0.025, 'model__colsample_bytree': 1.0}",-45.707823635006456,-45.51182460353379,-44.40130427119993,-46.54835220701572,-46.274551815591124,-45.688771306469405,0.7444813796541782,33,-34.20650640734186,-34.30035366265523,-34.605331769898875,-34.23715683502907,-34.124948779543395,-34.29485949089368,0.16518397964241513,-35.60329557719984,-35.641891775574024,-34.524621911951016,-36.353065675773806,-35.16153376018183,-35.4568817401361,0.6025197404072841,32,-26.366308795191394,-26.33405755533826,-26.689684401511652,-26.413180323669657,-26.552824106617855,-26.471211036465764,0.1323438141293559,0.4699045513335264,0.46240479435712445,0.5005163574505149,0.47340607351858177,0.46276467139153565,0.47379928961025664,0.014005160766135635,33,0.705773204454164,0.7057573744281747,0.6986809337516628,0.7020211910534833,0.7063691323907113,0.7037203672156392,0.002955083258805212
0.4110724449157715,0.022495619061961875,0.023021841049194337,0.0056635259685562595,1.0,15,5.0,350,20,4,0.06,1.0,"{'model__subsample': 1.0, 'model__reg_lambda': 15, 'model__reg_alpha': 5, 'model__n_estimators': 350, 'model__min_child_weight': 20, 'model__max_depth': 4, 'model__learning_rate': 0.06, 'model__colsample_bytree': 1.0}",-45.363057202442626,-45.751797384006444,-44.25925226458475,-46.29816959941558,-46.13602170863519,-45.561659631816916,0.7272137192931469,30,-38.215165088787806,-38.447638734081174,-38.71380817497691,-38.12883839108961,-38.047376109427695,-38.31056529967263,0.24198692621958434,-35.452429668394814,-35.7473622068959,-34.47817913856427,-36.1379061016207,-35.037290259854956,-35.37063347506613,0.5735703757966191,30,-29.441325866424286,-29.536504978409223,-29.873867865515688,-29.438073165367573,-29.615985296141353,-29.581151434371623,0.16056910881642464,0.477871233692165,0.45672063065393875,0.5037072166522298,0.4790514118664666,0.4659764526307877,0.4766653890991176,0.015814261636267916,30,0.6327716002443147,0.6303014589825583,0.6228862513578317,0.630429630272221,0.6349880229521928,0.6302753927618238,0.0040758757206884495
0.32303147315979003,0.007844971334191214,0.02576932907104492,0.006676705280241603,0.85,5,0.0,200,40,5,0.04,0.7,"{'model__subsample': 0.85, 'model__reg_lambda': 5, 'model__reg_alpha': 0, 'model__n_estimators': 200, 'model__min_child_weight': 40, 'model__max_depth': 5, 'model__learning_rate': 0.04, 'model__colsample_bytree': 0.7}",-45.034011444137064,-45.01007269795612,-43.961087680937304,-45.874485400330656,-45.65909615668433,-45.1077506760091,0.666585097721524,3,-39.751681062766544,-39.8691553956837,-40.126621505158894,-39.59630554109366,-39.51441210949263,-39.771635122839086,0.2157905654061949,-35.017210445245546,-35.2847778997071,-34.11287274165692,-35.86042374302262,-34.57613743433751,-34.97028445279394,0.597321161098569,2,-30.721981032722457,-30.713568167568347,-31.066944296100246,-30.673049400774957,-30.811644622363975,-30.797437503905996,0.14215195958933635,0.4854183950248414,0.4741930507036427,0.5103715175606672,0.4885424034309044,0.4769601939616176,0.48709711213633466,0.012774011253027592,3,0.6026476565943347,0.6024585090053547,0.5948593977689643,0.6014348435580907,0.606296983899606,0.6015394781652701,0.0037240021597748103
0.27895321846008303,0.017017759009447533,0.021405744552612304,0.00429754491795427,0.85,1,1.0,200,20,4,0.025,0.7,"{'model__subsample': 0.85, 'model__reg_lambda': 1, 'model__reg_alpha': 1, 'model__n_estimators': 200, 'model__min_child_weight': 20, 'model__max_depth': 4, 'model__learning_rate': 0.025, 'model__colsample_bytree': 0.7}",-45.09051066979295,-45.04133763268747,-43.91435538885201,-45.893334985608405,-45.6436604606907,-45.116639827526306,0.6830588761269327,4,-42.16933658123924,-42.11564563264242,-42.40936860413413,-41.93356815015037,-41.96043717395215,-42.11767122842367,0.17110070837460187,-35.1456961380808,-35.24605719446723,-34.180285543017476,-35.76921818575261,-34.608079589082394,-34.9898673300801,0.5474464666750031,4,-32.64108782349902,-32.4953032559174,-32.86949786515453,-32.52419424924284,-32.73255972744129,-32.652528584251016,0.13769607776136444,0.48412640708398835,0.4734623240679159,0.5114119512957478,0.48812200659515104,0.4773137760270131,0.4868872930139633,0.013285239111780906,4,0.552844767317296,0.5563961396139072,0.5474524774404292,0.5529937123601165,0.5560462787206726,0.5531466750904843,0.003209521885872436
0.30177979469299315,0.007548403220586746,0.02059512138366699,0.005693244825851545,1.0,1,0.0,350,20,3,0.015,0.85,"{'model__subsample': 1.0, 'model__reg_lambda': 1, 'model__reg_alpha': 0, 'model__n_estimators': 350, 'model__min_child_weight': 20, 'model__max_depth': 3, 'model__learning_rate': 0.015, 'model__colsample_bytree': 0.85}",-45.351486072202476,-45.29109993647175,-44.04450734799951,-46.13690405606336,-46.04286233481204,-45.37337194950983,0.7489095350777951,23,-43.447933769716116,-43.44296376383113,-43.714577312023,-43.237419207393444,-43.26878271564651,-43.42233535372204,0.16985792076296607,-35.2876416150883,-35.49060012066604,-34.259209445839694,-35.912564336468755,-34.936940585088166,-35.17739122063019,0.5570653021830754,21,-33.6880002461286,-33.61778323241088,-33.9370091575571,-33.566685837640435,-33.78562948919759,-33.71902159258692,0.13143279812502065,0.4781375671267537,0.46760664165979293,0.5085115363759274,0.48267422220264655,0.46813091110933513,0.48101217569489113,0.014918953924246494,23,0.5253177026767695,0.5279942565237248,0.5191682409052152,0.5247637914940888,0.5279292992271694,0.5250346581653936,0.0032157892884552585
1.3484536170959474,0.03580051779651343,0.035385751724243165,0.00617273144365849,0.7,15,5.0,1000,20,4,0.025,1.0,"{'model__subsample': 0.7, 'model__reg_lambda': 15, 'model__reg_alpha': 5, 'model__n_estimators': 1000, 'model__min_child_weight': 20, 'model__max_depth': 4, 'model__learning_rate': 0.025, 'model__colsample_bytree': 1.0}",-45.32118571437849,-45.29988808134819,-44.07815893056132,-46.26566441962297,-46.129937635441976,-45.418966956270594,0.780241374526359,24,-36.7708370929431,-36.886832287227655,-37.01927008361798,-36.686952734199366,-36.695334010990514,-36.81184524179572,0.1260974191784827,-35.32550546535165,-35.40966094738067,-34.291546351696496,-36.147356579226084,-35.049520882482916,-35.244718045227565,0.5991873331392173,25,-28.419493235735455,-28.350744260982566,-28.648654218152018,-28.3815297679019,-28.583225799354384,-28.476729456425268,0.11756770804656429,0.47883467046052486,0.4674000136955354,0.5077602198580773,0.4797826538698341,0.46611728939994757,0.47997896945678387,0.014990144334884997,24,0.6600055611423108,0.6597084903357451,0.6551769561098449,0.6578525750890099,0.660469039354845,0.6586425244063512,0.001947536541633695
0.5782625675201416,0.09685807572898752,0.020536470413208007,0.00628069609627779,1.0,1,1.0,500,40,4,0.025,0.85,"{'model__subsample': 1.0, 'model__reg_lambda': 1, 'model__reg_alpha': 1, 'model__n_estimators': 500, 'model__min_child_weight': 40, 'model__max_depth': 4, 'model__learning_rate': 0.025, 'model__colsample_bytree': 0.85}",-45.19754144247937,-45.31746590577219,-43.97605365068346,-46.16579613790938,-45.77982474785971,-45.28733637694082,0.7406307655066398,14,-39.94317341029135,-40.14056692021432,-40.534664514743234,-39.88976141113279,-39.926123876237796,-40.0868580265239,0.2403094288460209,-35.23001373375552,-35.55196113612862,-34.16826391187048,-35.94159746599627,-34.79475739096406,-35.13731872774299,0.6138078665835504,15,-30.847917280507765,-30.918259882831954,-31.358813419470895,-30.910088699528483,-31.126150890134266,-31.03224603449467,0.18833837933155576,0.48167445525478625,0.46698660139745374,0.5100380857571372,0.4820260946790478,0.47419056656346326,0.48298316073037767,0.014613673571883569,14,0.5988101734121054,0.5970275135562513,0.5865778471188092,0.5955052653065176,0.5980500381628876,0.5951941675113142,0.004448154954990641
1.7202454566955567,0.3120377916496132,0.0430511474609375,0.004680548678214016,0.85,15,0.1,1000,40,3,0.06,1.0,"{'model__subsample': 0.85, 'model__reg_lambda': 15, 'model__reg_alpha': 0.1, 'model__n_estimators': 1000, 'model__min_child_weight': 40, 'model__max_depth': 3, 'model__learning_rate': 0.06, 'model__colsample_bytree': 1.0}",-45.77602761366767,-45.699382760924024,-44.47093284410242,-46.74602530296288,-46.361123441162015,-45.8106983925638,0.77283492688176,35,-36.93621386389659,-36.95198522081518,-37.216908540218206,-36.884021536385646,-36.843127327931185,-36.96645129784937,0.13103882415769577,-35.70371831751266,-35.74835414450283,-34.5890325069097,-36.428273349690585,-35.292381080421244,-35.552351879807404,0.6040092943598011,35,-28.580110561822902,-28.466618997642243,-28.829269850582385,-28.53622461633172,-28.704998347409447,-28.62344447475774,0.12891429824844852,0.4683213828400786,0.45796471170197584,0.49894858358111027,0.46892408997243173,0.460752643643328,0.47098228234778483,0.014611866412334338,35,0.6569404352045005,0.6585053200454329,0.6514852455809833,0.6541669226404345,0.6577285568939383,0.655765296073058,0.002592940656593039
