Group,Value,N,MAE,RMSE,R2
RIAGENDR,1.0,922,34.41694538505372,43.43730818791002,0.5410735579680669
RIAGENDR,2.0,883,35.02302682602257,44.30825828311267,0.4493206893509487
RIDRETH3,1.0,255,31.228721768248317,39.689788303132914,0.5649712526166732
RIDRETH3,2.0,188,38.13624061422145,47.89996963944358,0.4688876751978126
RIDRETH3,3.0,611,35.09938271580273,44.64654896537552,0.4811370178467248
RIDRETH3,4.0,445,35.91430427465546,44.87788492014571,0.46384949471487336
RIDRETH3,6.0,209,32.206201726740055,40.13702054500546,0.5803366429148286
RIDRETH3,7.0,97,34.702419005718426,44.17147041711284,0.4816438136488753
