Model,MAE,RMSE,R2
Previous final,34.71343841130053,43.86553471246618,0.506217738033512
Original-input winner,34.71343841130053,43.86553471246618,0.506217738033512
Second-pass winner,34.307793014399564,43.51114682084289,0.514164003157461
