Feature,Importance
BMXWAIST,0.26319918
RIDRETH3_4.0,0.10137348
BMXBMI,0.091578186
LBXSATSI,0.056403495
LBXGH,0.056287836
RIDRETH3_6.0,0.053761356
LBDHDD,0.039035585
RIAGENDR_2.0,0.038988303
LBXTC,0.033491515
RIDRETH3_3.0,0.033098467
DR1TCARB,0.031377986
DR1TPROT,0.030241394
DR1TTFAT,0.029544106
LBXSASSI,0.02940451
RIDAGEYR,0.029195437
DR1TKCAL,0.028403148
RIDRETH3_2.0,0.027391076
RIDRETH3_7.0,0.027224919
