Model,MAE,RMSE,R2
XGBoost,35.344328937900364,44.52035467087535,0.49136544621432454
Linear Regression,35.39519978319981,44.67430892482397,0.4878415817608649
Random Forest,35.3564487534626,44.77524059618542,0.48552475131276407
