Group,Value,N,MAE,RMSE,R2
RIAGENDR,1.0,922,34.29345142091432,43.41560025650999,0.5415321432156561
RIAGENDR,2.0,883,34.341727130410355,43.528689617122936,0.4685277547144274
RIDRETH3,1.0,255,31.75771280924479,39.820487401370684,0.5621014221465195
RIDRETH3,2.0,188,36.94426556851001,47.00070740959811,0.48864242651929934
RIDRETH3,3.0,611,34.390233141310674,44.0065131865009,0.49590682724732504
RIDRETH3,4.0,445,35.60709739427888,44.6812899877273,0.4685365962462361
RIDRETH3,6.0,209,31.389923606763045,39.09169050792049,0.6019114444481154
RIDRETH3,7.0,97,35.88127576690359,45.437644908096644,0.45150054652665295
