Model,MAE,RMSE,R2
ratios_600_trees_missing_flags,34.326449982078536,44.27636501480723,0.5061909302925023
ratios_600_trees,34.3804668354618,44.38604398923019,0.5037414268620083
ratios_800_trees_regularized,34.46024318914984,44.4335834865839,0.5026778260091428
Previous expanded model,34.374160375554325,44.4545021402075,0.5022094523898903
supplied_parameters_with_ratios,34.57229003990833,44.58388901650902,0.4993075508279171
supplied_parameters_raw_labs,34.640126200843014,44.66160186693058,0.49756054535543104
